Gene_ID	Day00_BR1	Day00_BR4	Day00_BR5	Day00_BR6	Day00_BR7	Day02d_BR4	Day02d_BR5	Day02d_BR6	Day02d_BR7	Day04_BR2	Day04_BR3	Day04_BR4	Day06_BR1	Day06_BR2	Day06_BR3	Day06_BR4	Day08_BR1	Day08_BR2	Day08_BR3	Day08_BR4	Family
Migut.B01163	0	0.153001285	0.391946387	0	0	2.048685669	2.080188948	3.733728549	1.053157717	1.409655147	2.536608959	1.504523135	15.274098	14.83895809	26.1909281	13.88337275	70.85803541	65.78612279	92.68958989	98.24521213	AP2
Migut.C00009	2.002801523	2.634505413	2.473305302	2.475816865	5.303333604	11.60761692	37.50918211	63.44208483	29.44927551	19.16986392	16.49359251	17.44249347	27.86726117	24.37825168	34.35024085	32.66756141	28.98312115	28.75847284	40.72574039	42.83775351	ERF
Migut.C00771	0.074877466	0.223851312	0.301058251	0	0	0.273672622	0.749158957	4.898807884	0.67236722	1.443695115	1.027725745	1.568369199	21.83366868	27.61732997	20.89680076	37.28515858	2.89504372	3.227705051	2.254048021	1.346899621	TALE
Migut.D00936	0.978156371	0	0.766140142	0	0	11.28246647	13.23413056	10.79840913	10.92936999	5.265994135	4.475207024	4.754456808	11.35080328	12.3557206	11.84568661	9.444608974	14.39094029	15.74708494	7.610714918	7.747853755	ARR-B
Migut.D02201	0	0	0	0	0	0.646094991	0.290167202	0.582423202	1.56254354	1.491140494	1.946084745	2.643014068	5.614408405	3.407267162	5.460277585	4.160413309	1.794111601	0.540612951	0.912990085	0	NAC
Migut.E01159	0.348022025	0.208087135	0.066632611	0	0	1.090285297	1.595919608	5.132604471	2.864663156	3.248556077	2.653751925	5.882837765	14.03602101	13.36697117	9.272169485	11.84117634	2.37079033	2.703064756	1.369485127	0.521686473	TALE
Migut.F00276	0	0.066606646	0.06398533	0	0	0.407154535	0.766257259	0.943791445	0.750232232	0.613670668	0.955619882	1.166665169	0.539135076	1.006737888	0.519387798	1.152439086	0.738356761	1.232944837	1.578091399	0.563580146	WRKY
Migut.H01063	0	0.621662027	0.111974328	0	0.205457535	0.814309071	2.316186715	5.107834253	1.130558294	4.176369827	4.831189401	5.265344118	15.68546111	22.35272718	11.51309618	16.22378135	1.866401812	5.07237832	2.53152162	1.899473824	HD-ZIP
Migut.H01211	0	0	0	0	0	2.888538623	3.212285781	0	1.552392082	1.451219192	0.903946683	2.178118669	11.95271354	14.73089971	17.63426696	13.76280652	17.0242708	21.40730025	6.180956563	3.554037979	M-type_MADS
Migut.H01974	0.917647243	0.274336927	0.937032368	1.350445562	1.168604311	16.10426131	13.16607018	4.607113981	6.151444779	20.3375247	16.32699056	22.73345006	8.080404266	6.248566007	5.331108871	7.418795035	3.379017594	3.504259423	3.219799926	2.894401312	TCP
Migut.K00930	0.122704227	0.073366538	0.140958372	0.072230535	0.290969191	3.459676248	6.522007677	4.620340488	2.685712639	1.295574582	1.684168819	1.217434485	2.078481175	1.940595078	1.389386539	2.623426356	0.677743675	1.35807611	2.679804417	5.586999823	M-type_MADS
Migut.L00854	0	0.371239868	0	0	0	0.729425263	1.261834285	4.164428799	1.568064895	2.921561487	3.373296911	4.44910883	27.13829118	43.04819808	18.09292593	17.66394561	11.23138617	11.21214705	6.230270148	4.973533935	MYB_related
Migut.M00283	0	0.102866399	0	0	0	1.167778739	4.08809979	14.89969331	4.248377735	7.89787207	8.953467982	3.793224941	41.52756545	36.73196871	28.87687666	29.5448672	1.615436556	3.808286533	0.304647866	1.547352045	HB-other
Migut.M00864	16.35487149	15.09213897	16.0728947	11.35252611	11.95603678	69.10528199	88.14172201	97.22477421	71.04230118	126.2466352	114.401456	135.5360904	160.9361711	138.2453245	192.3024006	146.5047695	188.4490111	235.0921734	219.8563957	215.4363044	NAC
Migut.M01170	3.011525142	3.385188399	3.11358233	0.921830655	0.285649828	32.95793148	26.13838883	22.50927258	18.11826842	49.21659328	40.43891004	59.4269018	105.4492644	55.86078193	79.1914468	72.11305061	70.92668094	80.6264423	60.0109885	54.57775154	NAC
Migut.N00633	0.464029367	0.277449514	1.399284829	0.068288376	0.366785107	6.965711617	4.207424422	9.391574138	7.226763871	9.798923249	11.47747707	11.50989998	22.31727341	25.03030877	25.18939377	26.64264677	8.58610552	12.02863816	7.669116713	6.064605246	ERF
Migut.N01183	0	0	0	0	0	0.365228856	0.787332661	2.633888367	1.020684846	1.605565288	0.800069582	1.0024664	10.49453325	11.8528157	8.293112381	8.394209705	9.195298101	11.57210143	7.762160289	10.14464205	bHLH
Migut.N01841	0	0	0	0	0	0.419248235	0	1.653452008	0.50696386	0.783290861	0.975804592	0.553238824	35.64229994	29.81962609	28.88001853	40.63355686	15.30079902	17.54006985	8.471824827	7.503861938	ARR-B
Migut.N02770	11.7855914	7.26030489	5.743767175	9.670670391	3.669839069	15.85033849	36.17889596	54.6317699	44.696932	36.8888415	43.50427139	40.15884161	71.73053383	51.03584743	51.14351118	53.94226938	56.81145029	66.36500125	58.81437591	47.17798807	LBD
